Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
2.98763	Src1	0	220	FullDelay	0.78763	787630	1	1
2.99363	Src2	0	237	LastDelay	0.623634	623634	1	1
2.99363	Src2	0	237	FullDelay	0.623634	623634	1	1
2.99963	Src1	0	222	LastDelay	0.77963	779630	1	1
2.99963	Src1	0	222	FullDelay	0.77963	779630	1	1
3.00683	Src1	0	241	LastDelay	0.596834	596834	1	1
3.00683	Src1	0	241	FullDelay	0.596834	596834	1	1
3.01283	Src2	0	221	LastDelay	0.80283	802830	1	1
3.01283	Src2	0	221	FullDelay	0.80283	802830	1	1
3.02003	Src1	0	242	LastDelay	0.600034	600034	1	1
3.02003	Src1	0	242	FullDelay	0.600034	600034	1	1
3.02483	Src2	0	225	LastDelay	0.77483	774830	1	1
3.02483	Src2	0	225	FullDelay	0.77483	774830	1	1
3.03203	Src2	0	243	LastDelay	0.602034	602034	1	1
3.03203	Src2	0	243	FullDelay	0.602034	602034	1	1
3.03683	Src1	0	225	LastDelay	0.78683	786830	1	1
3.03683	Src1	0	225	FullDelay	0.78683	786830	1	1
3.04403	Src1	0	244	LastDelay	0.604034	604034	1	1
3.04403	Src1	0	244	FullDelay	0.604034	604034	1	1
3.04883	Src2	0	224	LastDelay	0.80883	808830	1	1
3.04883	Src2	0	224	FullDelay	0.80883	808830	1	1
3.05723	Src2	0	244	LastDelay	0.617234	617234	1	1
3.05723	Src2	0	244	FullDelay	0.617234	617234	1	1
3.06203	Src1	0	224	LastDelay	0.82203	822030	1	1
3.06203	Src1	0	224	FullDelay	0.82203	822030	1	1
3.06923	Src1	0	245	LastDelay	0.619234	619234	1	1
3.06923	Src1	0	245	FullDelay	0.619234	619234	1	1
3.07403	Src1	0	223	LastDelay	0.84403	844030	1	1
3.07403	Src1	0	223	FullDelay	0.84403	844030	1	1
3.08123	Src1	0	246	LastDelay	0.621234	621234	1	1
3.08123	Src1	0	246	FullDelay	0.621234	621234	1	1
3.08603	Src1	0	227	LastDelay	0.81603	816030	1	1
3.08603	Src1	0	227	FullDelay	0.81603	816030	1	1
3.09443	Src2	0	246	LastDelay	0.634434	634434	1	1
3.09443	Src2	0	246	FullDelay	0.634434	634434	1	1
3.09803	Src2	0	233	LastDelay	0.76803	768030	1	1
3.09803	Src2	0	233	FullDelay	0.76803	768030	1	1
3.10643	Src2	0	247	LastDelay	0.636434	636434	1	1
3.10643	Src2	0	247	FullDelay	0.636434	636434	1	1
3.11123	Src1	0	233	LastDelay	0.78123	781230	1	1
3.11123	Src1	0	233	FullDelay	0.78123	781230	1	1
3.11963	Src2	0	248	LastDelay	0.639634	639634	1	1
3.11963	Src2	0	248	FullDelay	0.639634	639634	1	1
3.12323	Src1	0	237	LastDelay	0.75323	753230	1	1
3.12323	Src1	0	237	FullDelay	0.75323	753230	1	1
3.13163	Src1	0	250	LastDelay	0.631634	631634	1	1
3.13163	Src1	0	250	FullDelay	0.631634	631634	1	1
3.13523	Src2	0	235	LastDelay	0.78523	785230	1	1
3.13523	Src2	0	235	FullDelay	0.78523	785230	1	1
3.14483	Src1	0	252	LastDelay	0.624834	624834	1	1
3.14483	Src1	0	252	FullDelay	0.624834	624834	1	1
3.14723	Src1	0	236	LastDelay	0.78723	787230	1	1
3.14723	Src1	0	236	FullDelay	0.78723	787230	1	1
3.15804	Src1	0	256	LastDelay	0.598035	598035	1	1
3.15804	Src1	0	256	FullDelay	0.598035	598035	1	1
3.16043	Src1	0	240	LastDelay	0.76043	760430	1	1
3.16043	Src1	0	240	FullDelay	0.76043	760430	1	1
3.17004	Src1	0	258	LastDelay	0.590035	590035	1	1
3.17004	Src1	0	258	FullDelay	0.590035	590035	1	1
3.17243	Src2	0	239	LastDelay	0.78243	782430	1	1
3.17243	Src2	0	239	FullDelay	0.78243	782430	1	1
3.18324	Src2	0	258	LastDelay	0.603235	603235	1	1
3.18324	Src2	0	258	FullDelay	0.603235	603235	1	1
3.18443	Src1	0	239	LastDelay	0.79443	794430	1	1
3.18443	Src1	0	239	FullDelay	0.79443	794430	1	1
3.19524	Src1	0	259	LastDelay	0.605235	605235	1	1
3.19524	Src1	0	259	FullDelay	0.605235	605235	1	1
3.19643	Src2	0	238	LastDelay	0.81643	816430	1	1
3.19643	Src2	0	238	FullDelay	0.81643	816430	1	1
3.20724	Src2	0	259	LastDelay	0.617235	617235	1	1
